Data source,Cell context,Description,Full description,Context name,Strain,Fraction,M. musculus,H. sapiens
sORFs.org,crappe_2014,HCT116,Malignant cells isolated from a male with colonic carcinoma. ,HCT116,,,,x
sORFs.org,fritsch_2012,THP-1,Human monocytic cell line derived from an acute monocytic leukemia patient.,THP-1,,,,x
sORFs.org,lee_2012 ,HEK293,"Human embryonic kidney cells 293 (HEK 293, HEK-293, 293 cells), cell line originally derived from human embryonic kidney cells grown in tissue culture ",HEK293,,,,x
sORFs.org,stern_ginossar_2012,Fibroblasts (THP-1),Human monocytic cell line derived from an acute monocytic leukemia patient.,THP-1,,,,x
sORFs.org,andreev_2015 ,HEK293,"Human embryonic kidney cells 293 (HEK 293, HEK-293, 293 cells), cell line originally derived from human embryonic kidney cells grown in tissue culture ",HEK293,,,,x
sORFs.org,Grow_2015,NCCIT,Pluripotent human embryonic carcinoma cells ,NCCIT,,,,x
sORFs.org,wang_2015 ,HeLa,Immortal human cervical cancer cell line ,HeLa,,,,x
sORFs.org,eichorn_2014 ,HEK293T," Human embryonic kidney cells 293 which stably express the SV40 large T antigen, specific cell line originally derived from human embryonic kidney cells grown in tissue culture ",HEK293T,,,,x
sORFs.org,gonzalez_2014,Human brain tissue,Human brain tissue,Brain,,,,x
sORFs.org,jan_2014 ,HEK293T," Human embryonic kidney cells 293 which stably express the SV40 large T antigen, specific cell line originally derived from human embryonic kidney cells grown in tissue culture ",HEK293T,,,,x
sORFs.org,niu_2014,HeLa,Immortal human cervical cancer cell line ,HeLa,,,,x
sORFs.org,yoon_2014 ,HeLa,Immortal human cervical cancer cell line ,HeLa,,,,x
sORFs.org,sidrauski_2015 ,HEK293,"Human embryonic kidney cells 293 (HEK 293, HEK-293, 293 cells), cell line originally derived from human embryonic kidney cells grown in tissue culture ",HEK293,,,,x
sORFs.org,rutkowski_2015 ,Human foreskin fibroblasts,Human foreskin fibroblasts,HFF,,,,x
sORFs.org,rubio_2014 ,MDA-MB-231,Human breast cancer cell line,MDA-MB-231,,,,x
sORFs.org,"liu_2013_HEK, liu_HEK_2013",HEK293,"Human embryonic kidney cells 293 (HEK 293, HEK-293, 293 cells), cell line originally derived from human embryonic kidney cells grown in tissue culture ",HEK293,,,,
sORFs.org,"liu_2013_HeLa, liu_Hela_2013",HeLa,Immortal human cervical cancer cell line ,HeLa,,,,
sORFs.org,loayza_puch_2013 ,BJ,Human skin fibroblast,BJ,,,,x
sORFs.org,rooijers_2013,BJ,Human skin fibroblast,BJ,,,,x
sORFs.org,stumpf_2013 ,G1 synchronized HeLa,Immortal human cervical cancer cell line ,HeLa,,,,x
sORFs.org,wiita_2013 ,MM.1S,Human myeloma cell line ,MM1S,,,,x
sORFs.org,ingolia_2012 ,HEK293,"Human embryonic kidney cells 293 (HEK 293, HEK-293, 293 cells), cell line originally derived from human embryonic kidney cells grown in tissue culture ",HEK293,,,,x
sORFs.org,ingolia_2014 ,HEK293,"Human embryonic kidney cells 293 (HEK 293, HEK-293, 293 cells), cell line originally derived from human embryonic kidney cells grown in tissue culture ",HEK293,,,,x
sORFs.org,calviello_2016 ,HEK293,"Human embryonic kidney cells 293 (HEK 293, HEK-293, 293 cells), cell line originally derived from human embryonic kidney cells grown in tissue culture ",HEK293,,,,x
sORFs.org,elkon_2015,U-2 OS,Human Bone Osteosarcoma Epithelial Cells ,U-2OS,,,,x
sORFs.org,gawron_2016 ,Jurkat,Immortalized cell line of human T lymphocyte ,Jurkat,,,,x
sORFs.org,iwasaki_2016 ,HEK293,"Human embryonic kidney cells 293 (HEK 293, HEK-293, 293 cells), cell line originally derived from human embryonic kidney cells grown in tissue culture ",HEK293,,,,x
sORFs.org,park_2016 ,HeLa,"Cell line was derived from human cervical cancer cells taken on February 8, 1951 from Henrietta Lacks ",HeLa,,,,x
sORFs.org,tanenbaum_2015 ,RPE-1,Retinal pigment epithelium -1 cell line ,RPE-1,,,,x
sORFs.org,tirosh_2015 ,REP-1,Retinal pigment epithelium -1 cell line ,RPE-1,,,,x
sORFs.org,wein_2014 ,Skeletal muscle,Human skeletal muscle cells ,Skeletal_muscle,,,,x
sORFs.org,werner_2015 ,hES ,Human Embryonic Stem cell line ,hES ,,,,x
sORFs.org,xu_2016 ,hES ,Human Embryonic Stem cell line ,hES ,,,,x
sORFs.org,zur_2016 ,HeLa,Immortal human cervical cancer cell line ,HeLa,,,,x
sORFs.org,guo_2010_mmu ,Neutrophils,"Neutrophils cultured from wild-type mouse bone marrow, strain C57BL/6 ",Neutrophil,C57BL/6,,x,
sORFs.org,hurt_2013 ,v6.5 ,v6.5 Mouse embryonic stem cells from a 3.5 day old male mouse embryo. ,V6.5,,,x,
sORFs.org,ingolia_2014_mmu,E14 mESC ,Mouse embryonic stem cell 14 days old,E14,,,x,
sORFs.org,katz_2014 ,NSC,"Mouse neural stem cells, development stage: E12.5 ",NSC,,,x,
sORFs.org,thoreen_2012,MEF,"Mouse embryonic fibroblast, genotype: 4EBP1/2 +/+ p53 -/- ",MEF,,,x,
sORFs.org,diaz_munoz_2015,splenic B,"Mouse Splenic B cells negative selection using a cocktail of biotin-conjugated antibodies against CD43, CD4 , and Ter-119 (Mylteni 130-090-862) ",Spleen_B_cell,,,x,
sORFs.org,eichorn_3t3_2014,3T3,Mouse 3T3 fibroblasts ,3T3,,,x,
sORFs.org,eichorn_bcell_2014,B cell,Mouse B cell,B_cell,,,x,
sORFs.org,eichorn_liver_2014,liver,Mouse liver cells,Liver,,,x,
sORFs.org,gonzalez_2014_mmu,Mouse brain,Mouse brain cells,Brain,,,x,
sORFs.org,Ingolia_2011,Mouse embryonic stem cells,"Mouse embryonic stem cells, cell line E14 ",E14,,,x,
sORFs.org,jovanovic_2015 ,bone marrow-derived primary dendritic ,Mouse bone marrow-derived primary dendritic cells ,BMDC,,,x,
sORFs.org,lee_2012_mmu,MEF,Mouse embryonic fibroblasts ,MEF,,,x,
sORFs.org,blanco_2016 ,Mouse skin papiloma,"Mouse skin squamous tumours, strain C57BL/6 ",Skin_tumour,C57BL/6,,x,
sORFs.org,castaneda_2014 ,Mouse testis,"mouse testis, strain 129SvJae ",Testis,,,x,
sORFs.org,cho_2015 ,Mouse brain,"Mouse Hippocampal tissue, strain C57BL/6N ",Brain,C57BL/6,,x,
sORFs.org,deklerck_2015 ,Mouse myoblasts,Mouse C2C12 myoblasts ,C2C12,,,x,
sORFs.org,fields_2015 ,Mouse dendritic cells,"Bone marrow-derived dendritic cells, strain C57BL/6J, age 6-8 weeks ",BMDC,C57BL/6,,x,
